433,213,13.2130003,99.7870026,,,1009.50,1010.50,31.57,,85.57,-1.00,-1.00,-3.00,0.00,90.00,45.00,1.72,,00:07:06,,,,,,,,,,,,
868,214,13.2139997,99.7860031,,,,,,13.57,,,,,,,,,,00:07:08,15.00,12.00,11.00,,,,,,,,,
433,215,13.2150002,99.7850037,,,1011.00,1012.00,31.58,,85.58,-1.00,-1.00,-3.00,0.00,90.00,45.00,1.73,,00:07:10,,,,,,,,,,,,
868,216,13.2159996,99.7839966,,,,,,13.58,,,,,,,,,,00:07:12,15.00,12.00,11.00,,,,,,,,,
433,217,13.2170000,99.7829971,,,1012.50,1013.50,31.59,,85.59,-1.00,-1.00,-3.00,0.00,90.00,45.00,1.74,,00:07:14,,,,,,,,,,,,
868,218,13.2180004,99.7819977,,,,,,13.59,,,,,,,,,,00:07:16,15.00,12.00,11.00,,,,,,,,,
433,219,13.2189999,99.7809982,,,1014.00,1015.00,31.60,,85.60,-1.00,-1.00,-3.00,0.00,90.00,45.00,1.75,,00:07:18,,,,,,,,,,,,
868,220,13.2200003,99.7799988,,,,,,13.60,,,,,,,,,,00:07:20,15.00,12.00,11.00,,,,,,,,,
433,221,13.2209997,99.7789993,,,1015.50,1016.50,31.61,,85.61,-1.00,-1.00,-3.00,0.00,90.00,45.00,1.76,,00:07:22,,,,,,,,,,,,
868,222,13.2220001,99.7779999,,,,,,13.61,,,,,,,,,,00:07:24,15.00,12.00,11.00,,,,,,,,,
433,223,13.2229996,99.7770004,,,1017.00,1018.00,31.62,,85.62,-1.00,-1.00,-3.00,0.00,90.00,45.00,1.77,,00:07:26,,,,,,,,,,,,
868,224,13.2240000,99.7760010,,,,,,13.62,,,,,,,,,,00:07:28,15.00,12.00,11.00,,,,,,,,,
433,225,13.2250004,99.7750015,,,1018.50,1019.50,31.63,,85.63,-1.00,-1.00,-3.00,0.00,90.00,45.00,1.78,,00:07:30,,,,,,,,,,,,
868,226,13.2259998,99.7740021,,,,,,13.63,,,,,,,,,,00:07:32,15.00,12.00,11.00,,,,,,,,,
433,227,13.2270002,99.7730026,,,1020.00,1021.00,31.64,,85.64,-1.00,-1.00,-3.00,0.00,90.00,45.00,1.79,,00:07:34,,,,,,,,,,,,
868,228,13.2279997,99.7720032,,,,,,13.64,,,,,,,,,,00:07:36,15.00,12.00,11.00,,,,,,,,,
433,229,13.2290001,99.7710037,,,1021.50,1022.50,31.65,,85.65,-1.00,-1.00,-3.00,0.00,90.00,45.00,1.80,,00:07:38,,,,,,,,,,,,
868,230,13.2299995,99.7699966,,,,,,13.65,,,,,,,,,,00:07:40,15.00,12.00,11.00,,,,,,,,,
433,231,13.2309999,99.7689972,,,1023.00,1024.00,31.66,,85.66,-1.00,-1.00,-3.00,0.00,90.00,45.00,1.81,,00:07:42,,,,,,,,,,,,
868,232,13.2320004,99.7679977,,,,,,13.66,,,,,,,,,,00:07:44,15.00,12.00,11.00,,,,,,,,,
433,233,13.2329998,99.7669983,,,1024.50,1025.50,31.67,,85.67,-1.00,-1.00,-3.00,0.00,90.00,45.00,1.82,,00:07:46,,,,,,,,,,,,
868,234,13.2340002,99.7659988,,,,,,13.67,,,,,,,,,,00:07:48,15.00,12.00,11.00,,,,,,,,,
433,235,13.2349997,99.7649994,,,1026.00,1027.00,31.68,,85.68,-1.00,-1.00,-3.00,0.00,90.00,45.00,1.83,,00:07:50,,,,,,,,,,,,
868,236,13.2360001,99.7639999,,,,,,13.68,,,,,,,,,,00:07:52,15.00,12.00,11.00,,,,,,,,,
433,237,13.2370005,99.7630005,,,1027.50,1028.50,31.69,,85.69,-1.00,-1.00,-3.00,0.00,90.00,45.00,1.84,,00:07:54,,,,,,,,,,,,
868,238,13.2379999,99.7620010,,,,,,13.69,,,,,,,,,,00:07:56,15.00,12.00,11.00,,,,,,,,,
433,239,13.2390003,99.7610016,,,1029.00,1030.00,31.70,,85.70,-1.00,-1.00,-3.00,0.00,90.00,45.00,1.85,,00:07:58,,,,,,,,,,,,
868,240,13.2399998,99.7600021,,,,,,13.70,,,,,,,,,,00:08:00,15.00,12.00,11.00,,,,,,,,,
433,241,13.2410002,99.7590027,,,1030.50,1031.50,31.71,,85.71,-1.00,-1.00,-3.00,0.00,90.00,45.00,1.86,,00:08:02,,,,,,,,,,,,
868,242,13.2419996,99.7580032,,,,,,13.71,,,,,,,,,,00:08:04,15.00,12.00,11.00,,,,,,,,,
