868,,,,,,,210.94,27.35,-13.50,28,134.12,5.44,96.,0.94,-9.64,-1.22,986.02,,,,,,,,,,,,,F,
433,944,15.2509136,100.3369904,,,35,211.11,28.75,27.50,28,121.19,1.94,97.,0.09,-9.44,-1.26,986.01,,072226,,,,,,,,,,,F,
433,945,15.2509146,100.3369904,,,34,,,,,,,,,,,,,072228,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,211.06,27.20,27.25,28,119.69,3.81,95.,0.61,-9.21,-0.72,986.02,,,,,,,,,,,,,F,
433,946,15.2509146,100.3369904,,,35,211.03,27.95,27.75,28,119.56,2.69,95.,0.70,-9.73,-0.96,986.05,,072230,,,,,,,,,,,F,
433,947,15.2509165,100.3369904,,,34.40,210.97,27.31,,,,3.19,101,,,,986.03,,072,,,,,,,,,,,F,
433,948,15.2509155,100.3369827,,,34,,,,,,,,,,,,,072234,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,210.71,27.99,26.75,28,50.69,-2.38,98,-0.76,-9.50,-0.74,986.04,,,,,,,,,,,,,F,
433,949,15.2509155,100.3369827,,,31,210.30,27.39,24.75,28,39.94,3.25,101.,0.64,-8.96,-1.43,986.05,,072236,,,,,,,,,,,F,
433,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,0.00,,
868,,15.2509232,100.3369827,,,,,,,,,1.00,102.,,,,986.03,,072238,,,,,,,,,,,F,
433,951,15.2509260,100.3369827,,,34,210.21,30.02,27.00,28,43.75,3.00,104.,0.23,-9.46,-2.14,986.01,,072240,,,,,,,,,,,F,
433,952,15.2509298,100.3369827,,,34,,,,,64.06,1.94,101,,,,986.00,,072242,,,,,,,,,,,F,
433,953,15.2509289,100.3369751,,,34,,,,,,,,,,,,,072244,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,209.75,28.40,27.25,28,54.56,0.94,103.,0.12,-9.17,-2.44,986.01,,,,,,,,,,,,,F,
433,954,15.2509289,100.3369751,,,33,209.49,29.17,26.50,28,52.06,-0.50,10,-0.10,-9.36,-2.49,986.01,,072246,,,,,,,,,,,F,
433,955,15.2509289,100.3369751,,,31,,,,,,,,,,,,,072248,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,209.30,30.88,25.00,28,38.44,5.06,98.0,0.85,-9.12,-1.64,986.01,,,,,,,,,,,,,F,
433,956,15.2509279,100.3369751,,,33,209.17,29.91,26.25,28,315.12,17.44,82.,2.55,-9.36,1.33,986.03,,072250,,,,,,,,,,,F,
433,957,15.2509270,100.3369751,,,20,209.15,31.34,16.00,28,272.81,16.88,86,2.76,-10.06,0.37,986.02,,072252,,,,,,,,,,,F,
433,958,15.2509279,100.3369827,,,34,,,,,,,,,,,,,072254,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,209.11,30.87,27.00,28,260.31,5.62,88.8,1.08,-9.36,0.16,986.00,,,,,,,,,,,,,F,
433,959,15.2509279,100.3369827,,,34,209.07,30.90,27.25,28,270.62,5.62,87.1,0.88,-9.63,0.54,985.99,,072256,,,,,,,,,,,F,
433,960,15.2509251,100.3369751,,,35,,,,,,,,,,,,,072258,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,208.99,29.62,27.50,28,306.44,3.88,86.,0.81,-10.05,0.05,985.99,,,,,,,,,,,,,F,
433,961,15.2509251,100.3369751,,,35,209.05,29.84,27.50,28,354.38,1.75,84.9,0.34,-9.62,1.05,985.97,,072300,,,,,,,,,,,F,
433,962,15.2509251,100.3369751,,,34,209.24,29.69,27.25,28,354.06,2.06,84.1,0.40,-9.66,0.95,985.96,,072302,,,,,,,,,,,F,
433,963,15.2509251,100.3369751,,,34,,,,,,,,,,,,,072304,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,209.38,29.27,26.75,28,353.94,1.88,83.9,0.33,-9.65,1.02,985.96,,,,,,,,,,,,,F,
433,964,15.2509260,100.3369751,,,34,209.43,29.99,26.75,28,358.38,1.81,86.1,0.18,-9.65,0.65,985.95,,072306,,,,,,,,,,,F,
433,965,15.2509270,100.3369751,,,33,,,,,,,,,,,,,072308,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,209.45,30.57,26.00,28,2.06,5.38,87.62,0.05,-10.31,2.08,985.95,,,,,,,,,,,,,F,
433,966,15.2509298,100.3369751,,,32,209.54,30.03,25.00,28,348.50,4.06,90.8,0.38,-8.86,1.42,985.94,,072310,,,,,,,,,,,F,
433,967,15.2509336,100.3369751,,,29,209.68,29.91,23.00,28,22.69,13.69,88.0,1.74,-9.31,0.82,985.96,,072312,,,,,,,,,,,F,
433,968,15.2509346,100.3369751,,,33,,,,,,,,,,,,,072314,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,209.88,30.56,26.25,28,7.62,4.75,91.81,1.06,-9.79,-0.27,985.96,,,,,,,,,,,,,F,
433,969,15.2509356,100.3369751,,,33,210.02,28.82,26.00,28,17.50,6.94,86.25,0.70,-9.11,1.52,985.96,,072316,,,,,,,,,,,F,
433,970,15.2509365,100.3369751,,,15,,,,,,,,,,,,,072318,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,210.12,29.29,11.75,28,9.75,1.31,86.88,0.07,-9.70,0.75,985.96,,,,,,,,,,,,,F,
433,971,15.2509375,100.3369751,,,33,210.12,29.49,26.50,28,9.62,-0.12,86.5,-0.04,-9.75,0.60,985.96,,072320,,,,,,,,,,,F,
433,972,15.2509375,100.3369751,,,33,210.12,28.75,26.00,28,9.38,-0.56,85.6,-0.09,-9.77,0.76,985.95,,072322,,,,,,,,,,,F,
433,973,15.2509375,100.3369751,,,35,,,,,,,,,,,,,072324,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,210.12,28.83,27.50,28,9.88,-0.12,85.19,0.01,-9.64,0.72,985.95,,,,,,,,,,,,,F,
433,974,15.2509375,100.3369751,,,35,210.15,29.44,27.50,28,9.88,-0.38,85.0,-0.04,-9.63,0.81,985.94,,072326,,,,,,,,,,,F,
433,975,15.2509375,100.3369751,,,32,,,,,,,,,,,,,072328,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,210.11,29.43,25.50,28,9.81,-0.38,85.3,-0.10,-9.71,0.84,985.94,,,,,,,,,,,,,F,
433,976,15.2509375,100.3369827,,,34,210.13,29.55,27.25,28,9.44,-0.31,85.5,-0.07,-9.63,0.77,985.92,,072330,,,,,,,,,,,F,
433,977,15.2509375,100.3369827,,,34,210.16,28.91,27.25,28,8.38,-0.56,85.3,-0.10,-9.64,0.89,985.94,,072332,,,,,,,,,,,F,
433,978,15.2509375,100.3369827,,,34,,,,,,,,,,,,,072334,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,210.20,28.73,27.25,28,8.75,0.12,85.38,0.00,-9.57,0.76,985.93,,,,,,,,,,,,,F,
433,979,15.2509375,100.3369827,,,34,210.19,29.83,27.25,28,10.44,0.62,84.62,0.18,-9.62,0.88,985.92,,072336,,,,,,,,,,,F,
433,980,15.2509375,100.3369827,,,33,,,,,,,,,,,,,072338,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,210.13,29.52,26.50,28,11.38,0.62,85.19,0.09,-9.65,0.82,985.91,,,,,,,,,,,,,F,
433,981,15.2509365,100.3369827,,,35,210.04,29.48,27.25,28,11.56,0.56,85.62,0.10,-9.64,0.72,985.88,,072340,,,,,,,,,,,F,
433,982,15.2509365,100.3369827,,,32,210.05,29.92,25.25,28,8.69,0.44,84.75,0.14,-9.65,0.95,985.87,,072342,,,,,,,,,,,F,
433,983,15.2509375,100.3369827,,,34,,,,,,,,,,,,,072344,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,210.03,29.26,27.00,28,9.94,0.38,85.44,0.13,-9.67,0.74,985.86,,,,,,,,,,,,,F,
433,984,15.2509375,100.3369827,,,35,210.12,30.61,27.50,28,16.25,3.62,85.69,0.52,-9.62,0.65,985.83,,072346,,,,,,,,,,,F,
433,985,15.2509375,100.3369827,,,24,,,,,,,,,,,,,072348,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,210.29,30.76,19.25,28,13.44,1.56,88.12,0.30,-9.68,0.26,985.80,,,,,,,,,,,,,F,
433,986,15.2509375,100.3369827,,,35,210.31,30.16,27.25,28,14.19,1.44,88.25,0.33,-9.69,0.38,985.79,,072350,,,,,,,,,,,F,
433,987,15.2509375,100.3369827,,,34,210.35,30.69,27.00,28,12.56,1.12,87.94,0.16,-9.69,0.40,985.77,,072352,,,,,,,,,,,F,
433,988,15.2509375,100.3369827,,,35,,,,,,,,,,,,,072354,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,210.27,30.47,27.50,28,11.12,1.00,87.31,0.20,-9.72,0.52,985.77,,,,,,,,,,,,,F,
433,989,15.2509375,100.3369827,,,30,210.26,30.88,23.75,28,12.12,1.12,88.00,0.19,-9.62,0.31,985.73,,072356,,,,,,,,,,,F,
433,990,15.2509375,100.3369827,,,35,,,,,,,,,,,,,072358,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,210.30,29.48,27.50,28,4.44,-2.44,84.5,-0.73,-9.42,0.69,985.73,,,,,,,,,,,,,F,
433,991,15.2509384,100.3369827,,,34,210.38,29.08,27.00,28,9.69,0.38,91.88,0.16,-9.55,-0.32,985.71,,072400,,,,,,,,,,,F,
433,992,15.2509384,100.3369827,,,35,210.43,29.69,27.50,28,19.31,1.19,91.9,0.26,-9.72,-0.26,985.70,,072402,,,,,,,,,,,F,
433,993,15.2509394,100.3369827,,,35,,,,,,,,,,,,,072404,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,210.41,30.31,27.50,28,20.81,2.62,90.9,0.51,-9.76,-0.13,985.70,,,,,,,,,,,,,F,
433,994,15.2509394,100.3369827,,,35,210.37,29.79,27.25,28,15.38,0.94,90.19,0.05,-9.61,0.04,985.70,,072406,,,,,,,,,,,F,
433,995,15.2509394,100.3369827,,,35,,,,,,,,,,,,,072408,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,210.35,30.61,27.25,28,33.25,4.12,90.1,0.58,-9.63,-0.07,985.70,,,,,,,,,,,,,F,
433,996,15.2509403,100.3369827,,,34,210.44,29.88,26.50,28,22.31,2.44,90.38,0.54,-9.73,0.03,985.70,,072410,,,,,,,,,,,F,
433,997,15.2509403,100.3369751,,,35,210.42,29.78,27.00,28,12.62,0.38,91.3,0.05,-9.71,-0.26,985.69,,072412,,,,,,,,,,,F,
433,998,15.2509403,100.3369751,,,34,,,,,,,,,,,,,072414,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,210.41,29.93,26.50,28,12.62,-0.69,91,-0.15,-9.82,-0.22,985.67,,,,,,,,,,,,,F,
433,999,15.2509413,100.3369751,,,34,210.43,30.09,26.75,28,13.12,-0.88,91,-0.13,-9.64,-0.24,985.66,,072416,,,,,,,,,,,F,
433,1000,15.2509413,100.3369751,,,6,,,,,,,,,,,,,072418,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,210.43,28.64,5.00,28,11.62,-2.00,90,-0.39,-9.42,-0.24,985.64,,,,,,,,,,,,,F,
433,1001,15.2509403,100.3369751,,,3,210.32,30.19,26.00,28,6.69,-8.50,90.,-1.53,-9.01,-0.30,985.63,,072420,,,,,,,,,,,F,
433,1002,15.2509384,100.3369751,,,3,210.18,29.23,26.75,28,33.00,1.62,90.56,0.80,-9.76,0.09,985.61,,072422,,,,,,,,,,,F,
433,1003,15.2509384,100.3369751,,,3,,,,,,,,,,,,,072424,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,210.06,29.87,26.00,28,41.12,1.50,91.7,0.41,-9.70,-0.28,985.62,,,,,,,,,,,,,F,
433,1004,15.2509375,100.3369751,,,3,210.31,31.91,27.00,28,53.25,7.50,98.,1.04,-10.37,-0.80,985.62,,072426,,,,,,,,,,,F,
433,1005,15.2509365,100.3369751,,,3,,,,,,,,,,,,,072428,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,210.04,32.03,26.25,28,60.62,5.88,94.19,1.19,-9.77,0.69,985.59,,,,,,,,,,,,,F,
433,1006,15.2509356,100.3369751,,,3,209.81,30.77,26.75,28,32.88,3.50,89.25,1.54,-9.41,0.55,985.56,,072430,,,,,,,,,,,F,
433,1007,15.2509336,100.3369751,,,3,209.76,29.99,26.50,28,36.31,1.94,88.38,0.43,-9.67,0.21,985.55,,072432,,,,,,,,,,,F,
433,1008,15.2509346,100.3369751,,,3,,,,,,,,,,,,,072434,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,209.82,30.41,26.75,28,36.12,1.88,89.8,0.32,-9.65,-0.08,985.55,,,,,,,,,,,,,F,
433,1009,15.2509346,100.3369751,,,3,209.93,29.49,27.00,28,33.00,0.75,89.8,0.00,-9.44,-0.26,985.57,,072436,,,,,,,,,,,F,
433,1010,15.2509356,100.3369751,,,3,,,,,,,,,,,,,072438,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,209.62,29.02,27.00,28,41.25,3.81,88.44,0.43,-9.90,0.56,985.57,,,,,,,,,,,,,F,
433,1011,15.2509356,100.3369751,,,3,209.90,30.01,26.75,28,46.38,2.12,85.8,-0.03,-8.76,0.68,985.57,,072440,,,,,,,,,,,F,
433,1012,15.2509365,100.3369751,,,3,209.98,27.58,26.50,28,83.38,4.44,90.31,0.89,-9.51,0.13,985.55,,072442,,,,,,,,,,,F,
433,1013,15.2509356,100.3369751,,,3,,,,,,,,,,,,,072444,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,210.08,28.02,26.50,28,75.81,0.12,88.88,0.06,-9.67,0.15,985.55,,,,,,,,,,,,,F,
433,1014,15.2509356,100.3369751,,,3,210.63,27.73,25.25,28,76.06,0.00,89.12,0.06,-9.66,0.19,985.56,,072446,,,,,,,,,,,F,
433,1015,15.2509308,100.3369751,,,3,,,,,,,,,,,,,072448,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,210.97,29.20,26.50,28,344.56,-9.62,82.,0.95,-8.31,1.32,985.54,,,,,,,,,,,,,F,
433,1016,15.2509146,100.3369675,,,3,210.93,30.98,27.00,28,301.81,1.38,90.,0.49,-9.38,-0.37,985.56,,072450,,,,,,,,,,,F,
433,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,0.00,,
