868,1538,15.2995329,100.3095856,,,17.22,3994.50,29.35,13.25,21,42,10.69,92,1.67,-9.48,-0.58,985.66,,074214,,,,,,,,,,,F,
868,1551,15.3022814,100.3079147,,,18.87,4103.57,29.28,14.50,21,92.06,11.94,94,1.70,-9.42,-0.55,985.63,,074240,,,,,,,,,,,F,
868,1560,15.3041916,100.3067551,,,19.20,4181.08,29.13,14.75,21,72.94,10.94,92,1.60,-9.53,-0.54,985.63,,074258,,,,,,,,,,,F,
868,,,,,,,,,,,191.12,9.94,92,,,,985.69,,,,,,,,,,,,,F,
433,1583,15.3083286,100.3039398,,,1,,,,,,,,,,,,,074344,,,,,,,,,,,,
868,,,,,,,4385.29,28.82,11.50,20,266.50,10.19,9,1.65,-9.55,-0.61,985.69,,,,,,,,,,,,,F,
433,1584,15.3085299,100.3038025,,,1,,,,,,,,,,,,,074346,,,,,,,,,,,,
DEF,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,4394.90,28.71,11.50,20,304.81,10.06,9,1.83,-9.58,-0.54,985.69,,,,,,,,,,,,,F,
DEF,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,0.00,,
868,1587,15.3090992,100.3034286,,,1,,,,,359.00,9.88,93,,,,985.68,,074352,,,,,,,,,,,F,
DEF,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,4602.44,28.71,10.75,20,65.62,11.06,93,1.79,-9.59,-0.53,985.76,,,,,,,,,,,,,F,
433,1608,15.3134251,100.3012695,,,1,,,,,,,,,,,,,074434,,,,,,,,,,,,
868,,,,,,,,,,,69.06,10.69,93,,,,985.76,,,,,,,,,,,,,F,
433,1609,,100.3011627,,,1,,,,,,,,,,,,,074436,,,,,,,,,,,,
DEF,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,4633.21,28.98,10.75,20,62.81,10.06,93,1.61,-9.55,-0.59,985.76,,,,,,,,,,,,,F,
433,1610,15.3138580,100.3010635,,,1,,,,,,,,,,,,,074438,,,,,,,,,,,,
868,,,,,,,4643.17,28.84,10.75,20,64.38,10.50,94,1.68,-9.50,-0.57,985.77,,,,,,,,,,,,,F,
433,1611,15.3140535,100.3009720,,,1,,,,,,,,,,,,,074440,,,,,,,,,,,,
868,,,,,,,4652.47,28.77,10.75,20,65.56,10.25,93,1.78,-9.53,-0.59,985.77,,,,,,,,,,,,,F,
433,1612,15.2142786,100.3008652,,,1,,,,,,,,,,,,,074442,,,,,,,,,,,,
DEF,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,,,,,67.12,10.69,93,,,,985.78,,,,,,,,,,,,,F,
433,1613,15.3145056,100.3007584,,,1,,,,,,,,,,,,,074444,,,,,,,,,,,,
868,,,,,,,4673.97,28.60,10.50,20,73.62,10.44,94,1.69,,-0.56,985.78,,,,,,,,,,,,,F,
433,1614,15.3147011,,,,1,,,,,,,,,,,,,074446,,,,,,,,,,,,
DEF,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,0.00,,
868,,,,,,,4683.29,28.53,10.50,20,77.06,10.12,93,1.74,-9.42,-0.52,,,,,,,,,,,,,,F,
433,1615,15.3149252,100.3005600,,,1,,,,,,,,,,,,,074448,,,,,,,,,,,,
868,,,,,,,4693.98,28.02,9.50,20,81.81,9.75,92.,1.74,-9.59,-0.61,985.79,,,,,,,,,,,,,F,
433,1616,15.3151236,100.3004684,,,1,,,,,,,,,,,,,074450,,,,,,,,,,,,
868,,,,,,,4703.26,28.60,10.00,20,86.44,10.94,93,1.72,-9.56,-0.53,985.81,,,,,,,,,,,,,F,
433,1617,15.3153524,100.3003616,,,1,,,,,,,,,,,,,074452,,,,,,,,,,,,
